book,date,period,start date,end date,mid-date,author dynasty,publication date,author date,total chapters,total words,dream occurance,dream per chapter,dream per word,dream per thousand words,accurate dreams,vague dreams,inaccurate dreams,dreams no prediction,preg_number,preg_perc,zhanbu_occurrence,zhanbu_freq,bu_ri_ji,bu_zhai_ju_zang_zhu_di,bu_ri__ji_freq,bu_zhai_ju_zang_zhu_di_freq
国语,,pre S-N,,,-700,,-560,,,92500,5,,3.24E-05,0.032432432,4,1,0,0,1,0.2,,,1,1,0.010810811,0.010810811
左传,,pre S-N,,,-595,,-560,,,196845,28,,0.000142244,0.142243897,18,8,1,1,2,0.071428571,,,0,0,0,0
史记,,pre S-N,,,-221,西汉,-93,-99,130,577256,21,0.161538462,3.64E-05,0.036379007,16,3,0,2,7,0.333333333,26,4.50E-05,6,10,0.010394002,0.017323337
汉书,-210,pre S-N,-202,8,-97,东汉,83,80,100,773741,20,0.2,2.58E-05,0.025848443,12,4,0,4,6,0.3,14,1.81E-05,1,5,0.001292422,0.006462111
后汉书,25-220,pre S-N,25,220,122.5,南朝宋,488,440,98,690771,18,0.183673469,2.61E-05,0.02605784,10,1,0,7,2,0.111111111,18,2.61E-05,1,3,0.001447658,0.004342973
三国志,220-280,pre S-N,220,280,250,西晋,289,185,65,384155,18,0.276923077,4.69E-05,0.046856087,16,0,0,2,2,0.111111111,9,2.34E-05,0,0,0,0
晋书,266-420,pre S-N,266,420,343,唐朝,648,647,130,1149450,61,0.469230769,5.31E-05,0.053068859,52,0,0,9,9,0.147540984,15,1.30E-05,3,2,0.002609944,0.001739963
宋书,420-479,S-N,420,479,449.5,南朝梁,488,487,100,800235,29,0.29,3.62E-05,0.036239355,24,0,0,5,9,0.310344828,2,2.50E-06,1,0,0.001249633,0
魏书,386-534,S-N,386,534,460,北齐,554,551,114,965445,34,0.298245614,3.52E-05,0.035216921,26,2,1,5,5,0.147058824,9,9.32E-06,0,3,0,0.003107375
南齐书,479-502,S-N,479,502,490.5,南朝梁,514,510,59,296729,20,0.338983051,6.74E-05,0.067401568,10,0,1,9,3,0.15,4,1.35E-05,0,0,0,0
北史,386-618,S-N,386,618,502,唐,659,659,100,1103684,69,0.69,6.25E-05,0.062517895,56,3,3,7,12,0.173913043,34,3.08E-05,2,4,0.001812113,0.003624226
南史,420-589,S-N,420,589,504.5,唐,659,659,80,675661,102,1.275,0.000150963,0.150963279,70,6,1,25,13,0.12745098,18,2.66E-05,1,3,0.001480032,0.004440096
梁书,502-557,S-N,502,557,529.5,唐朝,636,636,56,293085,27,0.482142857,9.21E-05,0.092123445,21,0,0,6,3,0.111111111,2,6.82E-06,1,3,0.003411979,0.010235938
周书,557-581,S-N,557,581,569,唐,636,636,50,260865,6,0.12,2.30E-05,0.023000403,5,1,0,0,3,0.5,4,1.53E-05,0,0,0,0
北齐书,531-611,S-N,531,611,571,唐朝,636,629,50,213172,18,0.36,8.44E-05,0.084438857,15,0,0,3,3,0.166666667,3,1.41E-05,0,2,0,0.009382095
陈书,557-589,S-N,557,589,573,唐朝,636,636,36,163125,8,0.222222222,4.90E-05,0.049042146,6,0,0,2,1,0.125,5,3.07E-05,0,1,0,0.006130268
隋书,581-618,post S-N,581,618,599.5,唐,636,636,85,693690,10,0.117647059,1.44E-05,0.014415661,9,0,0,1,1,0.1,4,5.77E-06,3,1,0.004324698,0.001441566
旧唐书,618-907,post S-N,618,907,762.5,后晋,945,945,200,1984156,34,0.17,1.71E-05,0.017135749,23,2,0,9,2,0.058823529,13,6.55E-06,10,7,0.005039926,0.003527948
新唐书,618-907,post S-N,618,907,762.5,宋,1060,1060,225,1769453,49,0.217777778,2.77E-05,0.027692174,25,6,0,18,6,0.12244898,16,9.04E-06,13,3,0.007346903,0.001695439
旧五代史,907-960,post S-N,907,960,933.5,宋,974,974,150,605041,28,0.186666667,4.63E-05,0.046277856,22,3,1,2,1,0.035714286,10,1.65E-05,0,3,0,0.004958342
新五代史,907-960,post S-N,907,960,933.5,宋 ,1072,1053,74,290748,5,0.067567568,1.72E-05,0.017197023,3,0,1,1,0,0,7,2.41E-05,0,1,0,0.003439405
辽史,907-1125,post S-N,907,1125,1016,元,1344,1344,116,300866,10,0.086206897,3.32E-05,0.033237388,7,2,0,1,3,0.3,3,9.97E-06,2,1,0.006647478,0.003323739
宋史,960-1279,post S-N,960,1279,1119.5,元,1345,1346,496,3995199,84,0.169354839,2.10E-05,0.021025236,65,2,4,13,27,0.321428571,18,4.51E-06,12,14,0.003003605,0.003504206
金史,1115-1234,post S-N,1115,1234,1174.5,元,1344,1344,135,940129,21,0.155555556,2.23E-05,0.02233736,13,5,1,2,3,0.142857143,2,2.13E-06,3,3,0.003191051,0.003191051
元史,1271-1368,post S-N,1271,1368,1319.5,明,1370,1369,210,1591729,24,0.114285714,1.51E-05,0.015077944,22,0,0,2,11,0.458333333,7,4.40E-06,5,4,0.003141238,0.002512991
明史,1368-1644,post S-N,1368,1644,1506,清,1739,1739,335,2828640,36,0.107462687,1.27E-05,0.012726964,29,3,0,4,13,0.361111111,25,8.84E-06,13,13,0.004595848,0.004595848
清史稿,1636-1912,post S-N,1636,1912,1774,民国,1927,1926,536,4514000,8,0.014925373,1.77E-06,0.001772264,5,1,0,2,4,0.5,,,9,13,0.001993797,0.002879929
